date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-08,cancer-medicine,angiogenesis-the-tumors-new-blood-supply,3141,6,0,yes,0,no,"Tumors stall at the ~1-2 mm diffusion limit until the HIF-1a-VEGF loop flips the angiogenic switch and recruits a blood supply.",1
2026-06-08,cancer-medicine,anti-angiogenic-therapy-promise-and-reality,2786,6,2,yes,0,no,"Anti-VEGF drugs act by transiently normalizing tumor vasculature, not starving it; reframes timing, resistance, immunotherapy combos.",1
2026-06-08,cancer-medicine,invasion-how-cancer-leaves-its-tissue,3072,5,1,yes,0,no,"Invasion is acquired: EMT loss of adhesion, MMP matrix degradation, motility; basement-membrane breach separates in situ from lethal.",0
2026-06-08,cancer-medicine,metastasis-the-seed-and-the-soil,3275,9,0,yes,0,no,"Metastasis is an inefficient selective cascade; seed-and-soil organ compatibility and dormancy decide colonization and recurrence.",1
2026-06-08,cancer-medicine,the-tumor-microenvironment-components,2696,6,3,yes,0,no,"A tumor is an organ-like ecosystem (CAFs, immune cells, vasculature, ECM, microbiome) that shapes drug delivery, immune access, prognosis.",2
2026-06-08,cancer-medicine,the-tumor-microenvironment-signaling-inflammation-and-remodeling,2566,5,1,yes,0,no,"A wound that never heals: chronic inflammation and matrix remodeling causally drive carcinogenesis and resistance.",0
2026-06-08,cancer-medicine,cancer-stem-cells,2891,5,0,yes,0,no,"Tumors show some hierarchy with therapy-resistant regenerative cells, but stemness is often a reversible state (plasticity), and degree is contested.",1
2026-06-08,cancer-medicine,tumor-heterogeneity-and-clonal-evolution,2714,5,0,yes,0,no,"A tumor is a Darwinian clonal population; therapy selects pre-existing resistant subclones; truncal-vs-branch target decides durability.",0
2026-06-08,cancer-medicine,tumor-immunology-surveillance-antigens-and-the-immune-response,3078,6,0,yes,0,no,"Immune pressure edits tumors (elimination-equilibrium-escape); a detectable cancer won a hidden contest against surveillance.",1
2026-06-08,cancer-medicine,cancer-immunotherapy-releasing-the-immune-system-on-cancer,3103,5,0,yes,0,no,"Checkpoint blockade releases brakes (CTLA-4 priming, PD-1/PD-L1 killing) on pre-existing primed T cells; CAR-T bypasses MHC.",1
2026-06-08,cancer-medicine,cancer-prevention-stopping-cancer-before-it-starts,3024,5,0,yes,0,no,"Primary prevention (tobacco control, viral vaccination) interrupts carcinogenesis at the highest-leverage point; underused for political-economy reasons.",1
